Симптом vs Корневая проблема	внешнее проявление (симптом) часто отличается от истинной причины; ищем «почему», а не «что болит»
Pain Points Mapping	карта точек боли: список всех неприятностей, которые клиент испытывает в текущем процессе
Job vs Task vs Outcome	«работа, которую надо сделать» (job), конкретное действие (task) и желаемый результат (outcome)
Desired Outcome Statement	формула «Клиент хочет … чтобы …», фиксирующая требуемый итог
Contextual Inquiry	наблюдение клиента в естественной среде с уточняющими вопросами по ходу
Окружение проблемы (экосистема)	все внешние факторы, влияющие на проблему: люди, процессы, правила
Current Workaround	как люди обходятся сейчас; часто источник идей для минимального решения
Opportunity Cost клиента	что клиент теряет (время, деньги, риск) без вашего решения
Problem Severity Matrix	ранжирование проблем по частоте и серьёзности, чтобы выбрать приоритет
Problem-Solution Narrative	связная история: «У клиента X есть проблема Y, из-за чего Z»
Problem Buying Triggers	события, после которых клиент решается заплатить (новый KPI, штраф, рост)
Problem Sizing	оценка объёма: сколько раз/каково влияние проблемы за период
«Hair-on-Fire» Problem	настолько острая боль, что клиент «горит» и платит немедленно
Switching Cost to Solve	затраты на переход от старого способа к новому (деньги, обучение, риск)
Evidence Gathering Log	системная запись всех фактов/цитат, подтверждающих существование проблемы 
