Survey Design Best Practices	чёткая цель, короткие вопросы, порядок от простого к сложному
Likert Scale vs Semantic Differential	измерение согласия (1-5) vs полярные прилагательные
Representative Sampling	отбор респондентов так, чтобы выборка отражала рынок
Statistical Significance Basics	p-value < 0,05, чтобы результаты не были случайностью
Confidence Interval vs Margin of Error	диапазон, где истинное значение лежит с вероятностью 95 %
Kano Model Survey	классификация фич «must-have / delighter / indifferent»
MaxDiff Analysis	заставляет респондента выбирать «наиболее/наименее важное»
Conjoint Analysis	выясняет ценность комбинаций атрибутов (цена, характеристики)
Google Trends Validation	проверяем наличие органического интереса по ключевым словам
Exploratory Data Analysis (EDA)	первичный осмотр данных: распределения, выбросы
Segmentation Clustering	алгоритмы (k-means, DBSCAN) для группировки похожих клиентов
Factor Analysis	выявление скрытых факторов, влияющих на ответы
Quantitative JTBD Score	рейтинг Jobs по важности и неудовлетворённости (ODI)
Data-Cleaning Pipeline	удаляем дубликаты, экстремумы, приводим типы данных
Visualization for Decision-Makers	графики, которые понятно читаются небизнес-аудиторией 
